count	reward_sum	squared_reward_sum	length
0	-115.41526217639377	10006.522512033904	60
1	-116.50813782966219	10006.038811349266	86
2	-112.12644407616835	10003.842846469319	71
3	-121.08857964415786	10006.069148710314	86
4	-104.79947689707717	10002.573308682673	70
5	-155.33989431849992	10017.692796840445	1768
6	-78.16372601700789	5.7825856726331715	2000
7	-104.3395284721388	10003.071096514666	68
8	-71.2588804261393	10.577740511430072	2000
9	-102.08505731935364	10001.38149151879	67
10	-103.62508526957905	10002.471014051393	54
11	-104.53828197352992	10001.953408319747	56
12	-101.70111093035806	10000.831201861145	81
13	-103.50424211142492	10002.132258827292	71
14	-101.978431989528	10001.438021269907	62
15	-102.8250376963392	10001.866554643508	142
16	-104.91026462401574	10000.875002568542	50
17	-102.17146722135134	10001.65585348051	59
18	-102.59683406504388	10001.290586264637	52
19	-100.79540030909179	10000.981766940336	50
20	-101.78881022258344	10004.356582797518	63
21	-102.6565439635339	10001.168100814253	44
22	-102.7324927627847	10001.167818548678	43
23	-101.7976641548469	10001.301458076809	52
24	-105.42746267822633	10002.32461219019	56
25	-103.24909634707433	10001.75389322228	48
26	-101.3278314209037	10001.49503702022	64
27	-104.59964392572704	10002.350421729412	47
28	-99.50459858087171	10001.426087582055	66
29	-102.94620028424299	10001.324980951475	45
30	-103.89952030222553	10001.776615319977	49
31	-98.41069073586227	10001.394701098401	70
32	-100.6151158837552	10003.018319133034	67
33	-102.66064406621767	10001.526759786306	50
34	-104.15307602519161	10002.551389209424	56
35	-98.58738831834091	10001.586035114882	83
36	-102.53346796896496	10003.17426638168	51
37	-102.74651138284406	10002.378951801968	48
38	-99.21232013742207	10002.969818528682	51
39	-104.15863892586809	10002.730927336132	54
40	-103.748157885709	10002.839037264206	50
41	-97.91900659728687	10001.971413132835	93
42	-98.9705658392574	10005.11713145233	80
43	-99.30214762484007	10001.275937155473	68
44	-101.62134949425639	10000.960346569347	50
45	-98.7369257014369	10001.814051280584	93
46	-99.75782829907212	10001.823457168459	149
47	-103.23924257334151	10001.96473231277	59
48	-103.20553619260497	10001.503426244848	48
49	-102.41965700255645	10001.729577753129	55
50	-102.29703190656348	10003.534209726642	67
51	-97.42784985791674	10002.974986908082	84
52	-98.77711529832784	10001.3641765083	76
53	-102.80691678237241	10001.867759045546	51
54	-101.2930002238208	10001.687025226754	63
55	-93.26773631242166	10002.476806043478	104
56	-94.13837221892791	10002.146235384096	101
57	-63.8065977984188	4.763501308789271	2000
58	-68.18929094839643	9.601300930496036	2000
59	-75.35742310946021	8.270364675231974	2000
60	-135.7387733654897	10012.919685117096	1355
61	-145.86646114658848	10018.17850979695	802
62	-124.61967497413875	10010.327974559195	127
63	-125.52122859927209	10013.09350021931	225
64	-131.3096217765102	10019.988388380938	464
65	-120.93851480749426	10006.016172081874	85
66	-117.96394893689391	10006.39309455542	56
67	-114.67846971191217	10004.952339595515	47
68	-121.83784304937365	10006.096461478144	121
69	-100.68973566586827	10006.161582242432	76
70	-119.88454008935028	10006.640773464533	76
71	-114.58661035082147	10005.257834643235	43
72	-117.97358182720188	10005.375945716803	65
73	-117.50572323307644	10005.641054727887	69
74	-102.751316426953	10002.47738386073	47
75	-119.3860546708128	10013.217999850056	124
76	-99.29006521939455	10005.139049879155	80
77	-119.71538335129858	10007.94402256618	60
78	-98.94499895793642	10007.479858779518	102
79	-116.60136190435293	10005.09979945558	75
80	-128.83693027341707	10006.667873490616	224
81	-126.6810785949627	10007.33052824609	152
82	-100.58612030224913	10006.780983706327	75
83	-101.06490523982343	10008.195493670226	83
84	-123.50655260971877	10007.020870671182	104
85	-99.88098004699157	10005.17648026339	59
86	-100.43862721025265	10007.63036586956	160
87	-122.45971618504214	10007.602677288272	80
88	-105.50145305072579	10003.904459392574	63
89	-119.3903855983175	10006.25543941766	68
90	-100.41411924414511	10005.391591917853	59
91	-102.71611694841397	10003.530401324044	57
92	-103.54585737719185	10004.265281822472	63
93	-118.51524271126029	10006.04665071244	74
94	-103.69946837116895	10002.638745797136	73
95	-120.68138500209261	10006.273724566443	91
96	-125.46538131725214	10008.477991915654	116
97	-115.78320603554013	10005.18955108487	64
98	-100.63567926462818	10006.042633501704	118
99	-122.11296342951266	10005.851751989241	141
100	-120.2110504102634	10011.436421533674	51
101	-122.55675934580415	10013.701711099793	54
102	-124.45313603886923	10014.968001851928	57
103	-120.5343078332219	10011.168166686164	53
104	-123.71028521502332	10013.785979250408	57
105	-122.95294446943406	10013.118313334018	58
106	-120.01634641898207	10010.409491417346	54
107	-119.81644617861727	10010.79246037433	52
108	-125.24331099141244	10014.343549338659	64
109	-121.97355255292635	10012.258928804089	58
110	-118.22273805808896	10009.75274425124	51
111	-124.58836597491057	10013.031958497355	63
112	-179.69117995076817	10012.98566801565	1911
113	-117.72769685887545	10011.09184819408	56
114	-127.11235406884559	10014.99975032043	69
115	-112.3085207829539	10004.725435603932	48
116	-118.1377813236431	10010.375395075893	57
117	-126.07159484962746	10013.87654092393	69
118	-125.83685754188835	10014.12370434917	67
119	-126.94086987969433	10012.91307489835	73
120	-124.06570469081991	10013.797890823784	70
121	-115.53260295938266	10007.475745621696	51
122	-112.83799611984814	10005.536874628417	45
123	-117.98934000551887	10009.963427558192	51
124	-125.80728053331423	10016.051629471729	57
125	-110.86388060709959	10004.125257354002	46
126	-128.1122315967758	10018.572910601148	62
127	-112.11170069860862	10005.408229091661	47
128	-109.23306228383832	10002.7814268386	45
129	-113.94134409997457	10006.806701928459	51
130	-117.07922019941671	10009.578395538358	48
131	-113.89709497037852	10005.66789864748	55
132	-110.59834935284275	10003.582446726878	48
133	-114.31355667867061	10007.499100317256	44
134	-113.55068216619377	10005.203873148976	56
135	-113.68677124508795	10006.657973375983	54
136	-114.69686377826054	10007.150737887938	51
137	-110.81296726776132	10003.478352807088	51
138	-113.78901707130204	10005.871597476647	48
139	-115.37537802475956	10008.533110137669	48
140	-112.91181092263767	10004.889847583212	57
141	-116.78373130682228	10009.314610311918	60
142	-115.85991436587213	10006.979463412876	72
143	-112.73189530141116	10004.624535762385	59
144	-112.98061121485382	10004.987705081025	52
145	-113.16199308638495	10004.503588882664	69
146	-99.37089416228146	10002.877536064003	135
147	-117.74522415943694	10003.350788261903	185
148	-102.38134949740177	10001.345059085961	60
149	-115.3109081115486	10007.384433634055	57
150	-115.70728520109503	10007.864292930102	60
151	-115.21905674433803	10006.825635169344	65
152	-111.69178609884158	10004.16149119312	69
153	-108.16360379750095	10003.153030950525	41
154	-110.74367776863758	10004.017222322818	58
155	-105.77292302804968	10002.437973556607	69
156	-118.60233093401806	10007.737518331316	88
157	-111.0190776435469	10003.666810359864	52
158	-112.10104769689342	10005.638816949688	49
159	-99.63531173466161	10001.390808886812	87
160	-107.2624130080021	10001.9327150641	38
161	-104.29737675741836	10000.930378178191	197
162	-109.30312398758328	10001.559682268724	275
163	-259.3748830295777	10028.053385071658	1918
164	-129.24325308262434	10007.62493623063	164
165	-140.38753853972113	10020.176459627875	179
166	-98.95802602952439	10002.696441239792	83
167	-101.73706832669757	10002.053149688392	100
168	-95.85071371566299	10001.50403068721	115
169	-136.42661260116677	10011.669515910135	172
170	-139.3144068043281	10017.690759448122	162
171	-103.6739694418471	10001.869049901665	165
172	-120.24591480283304	10012.862972669815	259
173	-63.2286038908545	2.4430282405653054	2000
174	-139.92659610738355	10014.8223478774	367
175	-109.05011061288772	10001.591830930269	79
176	-123.78884354228879	10009.445489575157	306
177	-115.725428752924	10008.899289406932	53
178	-88.36180361397528	15.285949368270924	2000
179	-158.12397726881795	10017.686132908198	1011
180	-117.86263955622454	10009.315179565701	93
181	-121.90532716152181	10012.313602627177	74
182	-124.91146660190053	10014.739152209604	87
183	-123.36527638839945	10012.474325301278	88
184	-122.66244856718711	10012.365144019506	89
185	-32.18381671920914	7.986828435663909	2000
186	-124.00166734749601	10013.848864419537	93
187	-129.28908916756484	10016.869567464912	140
188	-123.52312073743343	10013.503585351607	86
189	-122.20502858128229	10012.741475298917	66
190	-122.43840311317612	10013.47657675057	225
191	-123.05802357396965	10013.767300027532	64
192	-125.35515198565679	10013.549227361858	332
193	-121.93565020389569	10008.605550585624	297
194	-81.30059065699676	5.8678663025062265	2000
195	-115.00299171677294	10004.423234567286	909
196	-128.45838091103408	10004.10768180408	1290
197	-53.657903489902345	8.830133849225135	2000
198	-57.831518274156544	4.682269252688847	2000
199	-64.44015689415536	7.000192953206702	2000
200	-68.31915329608842	5.910216643325338	2000
201	-59.47470897904682	3.9825219643478196	2000
202	-93.81620285911696	10002.580652099745	203
203	-134.48476280775614	10004.032329729287	1647
204	-51.25172187245773	5.815483506516926	2000
205	-83.91696532046754	7.13975717182398	2000
206	-102.91303999612535	10003.630148682938	315
207	-109.68226719545962	10004.013255019534	829
208	-108.71606646187232	10004.288601008142	235
209	-126.26366099329593	10004.342171581042	1196
210	-106.29767934013017	10003.247046334429	736
211	-103.47695488053832	10003.953203127636	132
212	-52.53124470289789	5.450515754480319	2000
213	-71.14962298357747	5.625252722944037	2000
214	-97.20470354341795	6.777859210192219	2000
215	-111.98402919450537	9.57827840629735	2000
216	-154.9022449206051	10008.313917881	1778
217	-93.33806412589462	5.531140896314484	2000
218	-81.94136638609864	4.804489790318304	2000
219	-53.1908203645531	3.084218224957207	2000
220	-60.44398713043965	4.514440670799937	2000
221	-61.0094839555236	4.810204481939579	2000
222	-102.96204436821428	10001.123891611904	55
223	-100.27886147394325	7.709159400002365	2000
224	-101.23979063130321	10001.369809171338	75
225	-100.38002113991718	10003.433414650483	89
226	-102.31828960823532	10001.716579074206	74
227	-102.16240601867119	10002.477515468665	65
228	-107.06779134602635	10003.035519293038	51
229	-90.82905634595889	10007.453029495859	140
230	-39.432095418958134	1.8187359433468577	2000
231	-98.90107437859453	10001.84683641862	87
232	-114.04150828996379	10004.10154326722	119
233	-94.29681018932189	10004.200762755618	123
234	-54.50876701106078	15.048727774460406	2000
235	-131.66797137780767	10004.856244879986	1258
236	-113.9463546377397	10003.067817384017	988
237	-59.384933628240766	7.586771004541644	2000
238	-105.23368797522787	10002.900678692804	183
239	-26.149032841868614	6.4761232387629235	2000
240	-93.98685582919947	10004.656860242305	135
241	-131.6570091030888	10006.442349257686	1699
242	-93.8453829052216	10002.65908501545	110
243	-116.93600905046014	10006.19848358024	63
244	-100.04687856550628	10002.157746179531	188
245	-46.1672804088712	5.064362464386597	2000
246	-44.253284219569245	5.968982372474413	2000
247	-94.9264039900872	4.901417473300355	2000
248	-103.62624813745404	10001.273799639659	119
249	-85.13605682936738	10005.985260760233	142
250	-72.49569154850637	10008.712552366736	362
251	-92.12331357842902	10003.458485377334	152
252	-100.55676393045283	10000.852186383789	104
253	-107.25576317247904	10012.259784651058	257
254	-91.50426439540426	10002.466149879414	181
255	-41.315985212933974	5.254893556556667	2000
256	-50.145481008891736	5.486516739917996	2000
257	-49.729119064512595	6.46464648729656	2000
258	-123.23853612717419	10005.042838381403	1392
259	-36.803853063329115	6.5885112866381625	2000
260	-58.541529167461405	15.533887222672845	2000
261	-107.84530952467622	10001.72889326678	136
262	-122.94530628166706	10007.887544166884	125
263	-86.91970214471574	4.334583596847944	2000
264	-109.93802879652432	10006.742177740043	696
265	-93.42461578892848	10001.727357380892	147
266	-127.35089326673399	10003.381150136787	568
267	-64.78822536612985	3.2764198125545683	2000
268	-91.1426222755438	9.254065861970359	2000
269	-64.73605402816708	3.8091409201336135	2000
270	-110.61051322803957	10002.642523510702	86
271	-94.03826075822923	10003.209709490187	94
272	-53.63951222216988	10015.054142886926	490
273	-89.39163476516485	10006.408267173916	271
274	-82.31301930736953	10005.332216911833	229
275	-101.1358121262493	10006.043140031143	199
276	-68.46613330457068	10.329405349396923	2000
277	-80.5025698185437	10005.668627995388	242
278	-93.04794797157231	10003.541388894066	154
279	-97.28585393460506	10002.108153054234	131
280	-88.16925713584673	10004.732056626597	119
281	-68.94275416044309	10015.828313524242	474
282	-92.83963638215428	10002.80762232215	100
283	-100.22946317116792	10001.603904345817	81
284	-87.51960184581166	10004.19304190927	221
285	-92.20935319296395	10004.068467566478	127
286	-87.0527526871436	10008.386959876521	304
287	-88.82905728319035	10004.135633190848	221
288	-88.72179408471108	10003.417533522686	142
289	-92.41935319320726	10003.45783414168	111
290	-88.12377594585763	10004.617111437017	155
291	-90.33182030786698	10004.816717127494	105
292	-91.62595692167866	10003.60223287518	104
293	-87.55086298530557	10005.637245331001	248
294	-55.01876773623604	10.234085063433712	2000
295	-56.16048438867639	19.11612757903861	2000
296	-135.4483038120101	10012.653974388128	136
297	-89.35272586630768	10010.459418234972	480
298	-88.00624696041193	10006.196218571498	338
299	-55.97261381649725	8.809705114380684	2000
300	-92.71094683948837	10004.050841960887	189
301	-92.01960454446798	10006.59422086303	440
302	-78.45890728763476	10008.179626344054	305
303	-103.8695968927462	10003.15398739373	117
304	-97.709491942605	10002.607115347357	115
305	-85.42047793511588	10006.900984048638	269
306	-89.4508814062517	10009.851290374345	254
307	-44.605832390961886	17.543784819552844	2000
308	-34.217571372165395	10021.181289942142	580
309	-116.70766124423133	10008.001581067256	409
310	-81.51160250996668	10006.86879464344	260
311	-82.6698215011488	10006.827786336427	240
312	0.4684206673973387	17.495812813943683	2000
313	-35.9261307054155	20.401091269879192	2000
314	8.749622984841764	10031.221247176638	812
315	-52.65093167893881	6.718171039008172	2000
316	-91.08119484264932	10004.675329759346	235
317	-46.8213067037457	7.484965533688214	2000
318	-15.80506319773489	21.307129948098265	2000
319	-78.67809923371586	10006.273493883928	342
320	-82.48895335606564	10005.092122604445	140
321	-40.82905326156694	7.901346618628874	2000
322	-91.87447518382554	10008.838643633815	240
323	-73.94566959044758	10006.386545339912	187
324	-89.03086805539765	10006.175622668896	251
325	-75.93333767642287	10005.970782758346	202
326	-91.59544445872865	10004.694614814322	244
327	-111.6505088524568	10014.278338684526	709
328	-88.70639328199742	10002.584287256348	112
329	-93.68339944230594	10001.526230042256	92
330	-72.16166289890799	10007.581377832554	203
331	-66.9631105237346	10009.46687898383	212
332	-77.39901142484042	10006.251900956748	166
333	-73.8116527620414	10007.921730827766	164
334	-114.13780072810506	10013.45923209546	699
335	-64.78814670622151	10009.716958801737	287
336	-81.08662059241698	10007.83627767132	161
337	-79.10514730203619	10006.238492534121	159
338	-102.4815167897884	16.482925043780916	2000
339	-86.75474230427226	10003.948106871268	167
340	-55.29911437672365	10014.300923799516	270
341	-79.92704526658827	10007.286044681427	148
342	-85.22247635302267	10014.872856893218	554
343	-3.288697321122399	10023.971589863768	567
344	-78.03392008953782	10005.311646485185	182
345	-92.85693249640285	10003.960048135918	213
346	-83.0140172524315	10004.506331166853	145
347	-86.35121858826113	10003.999246786414	180
348	-91.54047399910671	10004.670527909999	196
349	-80.69742731020247	10006.385882034756	170
350	-105.37411438167194	15.087577824077805	2000
351	-8.806773056369991	10021.709721043313	1003
352	-99.60658843022772	10015.495975816766	692
353	-93.67394433287791	10006.551738056867	187
