count	reward_sum	squared_reward_sum	length
0	-103.32104641138669	10001.355408791034	72
1	-67.6531132582196	13.385602948152801	2000
2	-119.8541033045651	10008.774385968904	54
3	-101.97393900517359	10000.92442118176	48
4	-59.48629384097364	11.054161431455597	2000
5	-115.66152271430622	10006.425897982974	58
6	-118.90338671490989	10008.100261748132	101
7	-190.94710702074326	10010.747865871936	1642
8	-82.32275175487052	6.172423919705881	2000
9	-75.24256686809716	5.923083898898322	2000
10	-100.14151551647329	10001.737434209728	56
11	-98.61518334734193	10001.909374237302	60
12	-95.70015560868359	10004.90563975231	113
13	-96.17141108428513	10002.033367102067	76
14	-98.81848519190424	10001.721224767472	60
15	-72.24481887500835	7.414533565633292	2000
16	-101.68671766350916	10000.895497370886	46
17	-102.28328724297214	10000.664879710312	40
18	-103.46790161205355	10001.394733225578	43
19	-102.94728429352601	10001.021600012275	50
20	-101.41476431474027	10001.09971452123	47
21	-103.56882497210228	10002.001170002886	54
22	-103.67964244051184	10001.713492185676	54
23	-100.81076126574135	10000.759024784613	52
24	-101.18851533188717	10000.955866341874	46
25	-101.65652375661774	10001.223256074813	51
26	-103.3289597927869	10001.495309868229	42
27	-103.8156829582875	10000.740738574508	60
28	-107.2516218568502	10001.745010259276	60
29	-110.28833525134095	10002.19946661043	61
30	-100.30453343493646	10001.684725476078	90
31	-97.59401813841704	10001.109345909503	85
32	-59.252000184120355	6.334473548051921	2000
33	-102.93241225111329	10002.816796763915	75
34	-99.84098667889927	10002.309469862097	95
35	-102.95193681392873	10002.035638783325	47
36	-102.49936542878245	10001.23142247718	68
37	-99.42572378962487	10002.37588839015	126
38	-103.45433816526582	10001.846084279954	55
39	-103.00758081763766	10003.62640798443	111
40	-97.4468601800468	10002.289556969401	113
41	-99.5908198272658	10002.974654793476	130
42	-99.00792689756743	10002.629273278244	90
43	-97.84699025948008	10002.419649388883	87
44	-99.31991176254914	10002.738955297622	88
45	-98.12846716963453	10003.216793089292	86
46	-100.65000283771137	10002.820301750544	76
47	-100.37418053253562	10002.934414312036	80
48	-96.92417233037521	10003.826147581574	89
49	-97.45708220073828	10003.691444243479	98
50	-97.27798056957049	10003.565455815553	107
51	-100.83887484470918	10002.069636209431	83
52	-104.70393910415238	10002.483508532698	101
53	-97.20816841445708	10001.813845225604	74
54	-120.27284051957409	10005.016367655378	104
55	-99.30979655097394	10001.742588775414	76
56	-101.07817334525629	10001.733277997937	69
57	-104.33811080760137	10002.60543247844	69
58	-107.0913162653277	10004.138904118381	67
59	-102.15261414354853	10001.433775440637	65
60	-102.62190314986431	10002.038429016899	56
61	-102.03821725288428	10002.876832535992	67
62	-102.88530395850819	10002.051991993112	69
63	-99.89868267059357	10001.692133124916	76
64	-102.8143348549923	10002.02693603219	68
65	-102.79478108538548	10001.753562398504	61
66	-102.30710306553621	10002.851043602564	58
67	-97.79111504715955	10001.710810743596	114
68	-62.00334797708506	10.966525737336857	2000
69	-107.0495556150941	10007.180529456753	88
70	-118.60780626360642	10006.059923068548	70
71	-119.70492956084712	10006.487734392738	72
72	-140.98017792072523	10015.508774459908	366
73	-99.69483893415396	10019.880053055944	807
74	-98.26218198757309	10003.516280541186	131
75	-101.36657726170328	10002.867850006121	225
76	-118.81285300844186	10005.676602396268	121
77	-69.07941012009982	10009.097743637753	380
78	-100.49163514887887	7.4768765760553615	2000
79	-79.69417385746836	5.964784617406302	2000
80	-82.82001170616076	10004.341680841375	171
81	-54.460788588700574	9.326240254609171	2000
82	-70.38801128747463	10008.042826385443	432
83	-41.624964098639914	10.281608120533066	2000
84	-11.901535271540325	10025.478257706463	929
85	-102.1274755363989	10000.77788939095	62
86	-94.74143348078172	10003.176087873986	176
87	-72.2558983037566	10008.68034115986	274
88	-52.20878033832056	10015.172624017905	397
89	-77.62384045605927	10009.915534404985	180
90	-116.03040293401534	10006.216057024501	92
91	-86.14991815193673	10004.66914099126	149
92	-68.1758578282846	10012.880184504469	504
93	-118.20350171138905	10006.693364623648	61
94	-69.56758770082267	10009.60509362786	280
95	-115.27249204362681	10005.882531313637	43
96	-108.83678485294269	10003.153294933563	88
97	-110.13290219318401	10003.942811810492	48
98	-117.49816799015954	10007.338469706441	45
99	-117.35171960463421	10007.86078234735	42
100	-116.37281543928664	10006.605840917877	45
101	-119.13789235567907	10008.629736161954	45
102	-114.45171024275353	10006.011374622536	38
103	-118.69840749874339	10008.359350381745	45
104	-120.4770407055244	10009.94397052644	45
105	-122.09497838877854	10011.682353907456	44
